Resumen de training_data_v5 (6 filas x 2001 cols)
--------------------------------------------------
Col 1: Min=-0.395 | Max=25.000 | Mean=8.617 | Infs=0 | NaNs=0
Col 2: Min=-0.395 | Max=25.000 | Mean=8.617 | Infs=0 | NaNs=0
Col 3: Min=-0.395 | Max=25.000 | Mean=8.617 | Infs=0 | NaNs=0
Col 4: Min=-0.383 | Max=25.000 | Mean=8.483 | Infs=0 | NaNs=0
Col 5: Min=-0.252 | Max=25.000 | Mean=8.211 | Infs=0 | NaNs=0
Col 6: Min=-0.015 | Max=25.000 | Mean=7.578 | Infs=0 | NaNs=0
Col 7: Min=-0.000 | Max=41.215 | Mean=10.176 | Infs=0 | NaNs=0
Col 8: Min=0.380 | Max=36.921 | Mean=9.072 | Infs=0 | NaNs=0
Col 9: Min=0.240 | Max=36.921 | Mean=8.882 | Infs=0 | NaNs=0
Col 10: Min=0.220 | Max=25.000 | Mean=7.198 | Infs=0 | NaNs=0
Col 11: Min=0.240 | Max=25.000 | Mean=7.776 | Infs=0 | NaNs=0
Col 12: Min=0.240 | Max=38.050 | Mean=10.253 | Infs=0 | NaNs=0
Col 13: Min=0.000 | Max=41.622 | Mean=10.797 | Infs=0 | NaNs=0
Col 14: Min=-0.248 | Max=39.065 | Mean=10.419 | Infs=0 | NaNs=0
Col 15: Min=-0.777 | Max=25.000 | Mean=8.117 | Infs=0 | NaNs=0
Col 16: Min=-0.732 | Max=25.000 | Mean=8.131 | Infs=0 | NaNs=0
Col 17: Min=0.000 | Max=40.991 | Mean=10.749 | Infs=0 | NaNs=0
Col 18: Min=0.000 | Max=40.917 | Mean=10.639 | Infs=0 | NaNs=0
Col 19: Min=0.000 | Max=40.917 | Mean=10.556 | Infs=0 | NaNs=0
Col 20: Min=0.120 | Max=25.000 | Mean=7.909 | Infs=0 | NaNs=0
Col 21: Min=1.105 | Max=25.000 | Mean=10.567 | Infs=0 | NaNs=0
Col 22: Min=1.122 | Max=25.000 | Mean=10.620 | Infs=0 | NaNs=0
Col 23: Min=0.000 | Max=41.622 | Mean=10.797 | Infs=0 | NaNs=0
Col 24: Min=-1.130 | Max=25.000 | Mean=7.945 | Infs=0 | NaNs=0
Col 25: Min=-1.127 | Max=25.000 | Mean=7.959 | Infs=0 | NaNs=0
Col 26: Min=0.000 | Max=41.622 | Mean=10.817 | Infs=0 | NaNs=0
Col 27: Min=0.120 | Max=25.000 | Mean=8.140 | Infs=0 | NaNs=0
Col 28: Min=0.120 | Max=25.000 | Mean=8.140 | Infs=0 | NaNs=0
Col 29: Min=1.116 | Max=25.000 | Mean=10.606 | Infs=0 | NaNs=0
Col 30: Min=0.000 | Max=41.461 | Mean=10.757 | Infs=0 | NaNs=0
Col 31: Min=-0.642 | Max=37.431 | Mean=10.075 | Infs=0 | NaNs=0
Col 32: Min=-1.131 | Max=25.000 | Mean=7.935 | Infs=0 | NaNs=0
Col 33: Min=0.140 | Max=39.084 | Mean=10.405 | Infs=0 | NaNs=0
Col 34: Min=1.103 | Max=25.000 | Mean=10.564 | Infs=0 | NaNs=0
Col 35: Min=0.000 | Max=40.917 | Mean=10.739 | Infs=0 | NaNs=0
Col 36: Min=0.000 | Max=40.917 | Mean=10.739 | Infs=0 | NaNs=0
Col 37: Min=-0.238 | Max=39.986 | Mean=10.555 | Infs=0 | NaNs=0
Col 38: Min=-0.000 | Max=40.991 | Mean=10.655 | Infs=0 | NaNs=0
Col 39: Min=0.120 | Max=30.330 | Mean=9.018 | Infs=0 | NaNs=0
Col 40: Min=1.120 | Max=25.000 | Mean=10.617 | Infs=0 | NaNs=0
Col 41: Min=0.000 | Max=41.667 | Mean=10.814 | Infs=0 | NaNs=0
Col 42: Min=-1.127 | Max=25.000 | Mean=7.965 | Infs=0 | NaNs=0
Col 43: Min=-1.128 | Max=25.000 | Mean=7.985 | Infs=0 | NaNs=0
Col 44: Min=-0.000 | Max=41.215 | Mean=10.776 | Infs=0 | NaNs=0
Col 45: Min=0.140 | Max=39.084 | Mean=10.405 | Infs=0 | NaNs=0
Col 46: Min=0.120 | Max=34.159 | Mean=9.640 | Infs=0 | NaNs=0
Col 47: Min=-1.131 | Max=25.000 | Mean=7.932 | Infs=0 | NaNs=0
Col 48: Min=-1.004 | Max=25.000 | Mean=8.149 | Infs=0 | NaNs=0
Col 49: Min=-1.125 | Max=25.000 | Mean=8.016 | Infs=0 | NaNs=0
Col 50: Min=-0.318 | Max=39.566 | Mean=10.475 | Infs=0 | NaNs=0
Col 51: Min=0.000 | Max=41.286 | Mean=10.718 | Infs=0 | NaNs=0
Col 52: Min=0.000 | Max=41.286 | Mean=10.718 | Infs=0 | NaNs=0
Col 53: Min=-0.000 | Max=40.991 | Mean=10.659 | Infs=0 | NaNs=0
Col 54: Min=0.140 | Max=38.050 | Mean=10.253 | Infs=0 | NaNs=0
Col 55: Min=0.120 | Max=32.413 | Mean=9.358 | Infs=0 | NaNs=0
Col 56: Min=-0.518 | Max=38.378 | Mean=10.250 | Infs=0 | NaNs=0
Col 57: Min=-1.054 | Max=25.000 | Mean=8.111 | Infs=0 | NaNs=0
Col 58: Min=-1.131 | Max=25.000 | Mean=7.892 | Infs=0 | NaNs=0
Col 59: Min=0.000 | Max=41.590 | Mean=10.358 | Infs=0 | NaNs=0
Col 60: Min=1.115 | Max=25.000 | Mean=10.003 | Infs=0 | NaNs=0
Col 61: Min=1.108 | Max=25.000 | Mean=10.151 | Infs=0 | NaNs=0
Col 62: Min=0.120 | Max=38.050 | Mean=9.960 | Infs=0 | NaNs=0
Col 63: Min=-0.000 | Max=41.286 | Mean=10.694 | Infs=0 | NaNs=0
Col 64: Min=-1.120 | Max=25.000 | Mean=7.833 | Infs=0 | NaNs=0
Col 65: Min=-0.991 | Max=25.000 | Mean=7.558 | Infs=0 | NaNs=0
Col 66: Min=0.000 | Max=41.406 | Mean=9.938 | Infs=0 | NaNs=0
Col 67: Min=0.000 | Max=41.406 | Mean=9.771 | Infs=0 | NaNs=0
Col 68: Min=0.000 | Max=41.659 | Mean=9.620 | Infs=0 | NaNs=0
Col 69: Min=0.240 | Max=38.964 | Mean=9.045 | Infs=0 | NaNs=0
Col 70: Min=0.180 | Max=25.000 | Mean=6.812 | Infs=0 | NaNs=0
Col 71: Min=0.240 | Max=25.000 | Mean=6.884 | Infs=0 | NaNs=0
Col 72: Min=0.280 | Max=38.050 | Mean=9.033 | Infs=0 | NaNs=0
Col 73: Min=-0.000 | Max=41.145 | Mean=9.531 | Infs=0 | NaNs=0
Col 74: Min=0.380 | Max=39.864 | Mean=9.256 | Infs=0 | NaNs=0
Col 75: Min=0.300 | Max=30.330 | Mean=7.731 | Infs=0 | NaNs=0
Col 76: Min=0.340 | Max=35.652 | Mean=8.625 | Infs=0 | NaNs=0
Col 77: Min=-0.000 | Max=41.071 | Mean=9.459 | Infs=0 | NaNs=0
Col 78: Min=0.400 | Max=37.121 | Mean=8.772 | Infs=0 | NaNs=0
Col 79: Min=0.300 | Max=25.000 | Mean=6.780 | Infs=0 | NaNs=0
Col 80: Min=0.320 | Max=25.000 | Mean=6.804 | Infs=0 | NaNs=0
Col 81: Min=0.320 | Max=25.000 | Mean=6.830 | Infs=0 | NaNs=0
Col 82: Min=0.340 | Max=32.413 | Mean=8.071 | Infs=0 | NaNs=0
Col 83: Min=0.340 | Max=34.159 | Mean=8.383 | Infs=0 | NaNs=0
Col 84: Min=0.278 | Max=40.029 | Mean=9.304 | Infs=0 | NaNs=0
Col 85: Min=-0.000 | Max=41.071 | Mean=9.475 | Infs=0 | NaNs=0
Col 86: Min=0.400 | Max=36.799 | Mean=8.755 | Infs=0 | NaNs=0
Col 87: Min=0.320 | Max=25.000 | Mean=6.790 | Infs=0 | NaNs=0
Col 88: Min=0.320 | Max=25.000 | Mean=6.813 | Infs=0 | NaNs=0
Col 89: Min=0.320 | Max=25.000 | Mean=6.830 | Infs=0 | NaNs=0
Col 90: Min=0.320 | Max=25.000 | Mean=6.844 | Infs=0 | NaNs=0
Col 91: Min=0.340 | Max=30.330 | Mean=7.758 | Infs=0 | NaNs=0
Col 92: Min=0.340 | Max=30.330 | Mean=7.778 | Infs=0 | NaNs=0
Col 93: Min=0.360 | Max=35.652 | Mean=8.665 | Infs=0 | NaNs=0
Col 94: Min=0.360 | Max=38.050 | Mean=9.070 | Infs=0 | NaNs=0
Col 95: Min=0.000 | Max=40.917 | Mean=9.476 | Infs=0 | NaNs=0
Col 96: Min=0.400 | Max=35.939 | Mean=8.629 | Infs=0 | NaNs=0
Col 97: Min=0.300 | Max=25.000 | Mean=6.799 | Infs=0 | NaNs=0
Col 98: Min=0.300 | Max=25.000 | Mean=6.819 | Infs=0 | NaNs=0
Col 99: Min=0.300 | Max=25.000 | Mean=6.833 | Infs=0 | NaNs=0
Col 100: Min=0.300 | Max=25.000 | Mean=6.856 | Infs=0 | NaNs=0
Col 101: Min=0.300 | Max=25.000 | Mean=6.863 | Infs=0 | NaNs=0
Col 102: Min=0.320 | Max=25.000 | Mean=6.890 | Infs=0 | NaNs=0
Col 103: Min=0.320 | Max=25.000 | Mean=6.910 | Infs=0 | NaNs=0
Col 104: Min=0.320 | Max=25.000 | Mean=6.937 | Infs=0 | NaNs=0
Col 105: Min=0.320 | Max=27.875 | Mean=7.431 | Infs=0 | NaNs=0
Col 106: Min=0.340 | Max=32.413 | Mean=8.198 | Infs=0 | NaNs=0
Col 107: Min=0.360 | Max=39.084 | Mean=9.265 | Infs=0 | NaNs=0
Col 108: Min=-0.000 | Max=40.991 | Mean=9.552 | Infs=0 | NaNs=0
Col 109: Min=0.400 | Max=36.113 | Mean=8.719 | Infs=0 | NaNs=0
Col 110: Min=0.300 | Max=25.000 | Mean=6.859 | Infs=0 | NaNs=0
Col 111: Min=0.300 | Max=25.000 | Mean=6.876 | Infs=0 | NaNs=0
Col 112: Min=0.300 | Max=25.000 | Mean=6.896 | Infs=0 | NaNs=0
Col 113: Min=0.300 | Max=25.000 | Mean=6.917 | Infs=0 | NaNs=0
Col 114: Min=0.320 | Max=25.000 | Mean=6.940 | Infs=0 | NaNs=0
Col 115: Min=0.320 | Max=25.000 | Mean=6.954 | Infs=0 | NaNs=0
Col 116: Min=0.320 | Max=25.000 | Mean=6.977 | Infs=0 | NaNs=0
Col 117: Min=0.340 | Max=27.875 | Mean=7.471 | Infs=0 | NaNs=0
Col 118: Min=0.360 | Max=35.652 | Mean=8.761 | Infs=0 | NaNs=0
Col 119: Min=0.278 | Max=40.029 | Mean=9.441 | Infs=0 | NaNs=0
Col 120: Min=-0.000 | Max=41.145 | Mean=9.624 | Infs=0 | NaNs=0
Col 121: Min=0.420 | Max=36.505 | Mean=8.826 | Infs=0 | NaNs=0
Col 122: Min=0.320 | Max=25.000 | Mean=6.906 | Infs=0 | NaNs=0
Col 123: Min=0.300 | Max=25.000 | Mean=6.920 | Infs=0 | NaNs=0
Col 124: Min=0.320 | Max=25.000 | Mean=6.933 | Infs=0 | NaNs=0
Col 125: Min=0.320 | Max=25.000 | Mean=6.954 | Infs=0 | NaNs=0
Col 126: Min=0.320 | Max=25.000 | Mean=6.977 | Infs=0 | NaNs=0
Col 127: Min=0.340 | Max=25.000 | Mean=6.997 | Infs=0 | NaNs=0
Col 128: Min=0.340 | Max=32.413 | Mean=8.231 | Infs=0 | NaNs=0
Col 129: Min=0.340 | Max=35.652 | Mean=8.771 | Infs=0 | NaNs=0
Col 130: Min=0.360 | Max=38.050 | Mean=9.176 | Infs=0 | NaNs=0
Col 131: Min=-0.000 | Max=40.991 | Mean=9.612 | Infs=0 | NaNs=0
Col 132: Min=0.420 | Max=36.434 | Mean=8.828 | Infs=0 | NaNs=0
Col 133: Min=0.320 | Max=25.000 | Mean=6.913 | Infs=0 | NaNs=0
Col 134: Min=0.320 | Max=25.000 | Mean=6.933 | Infs=0 | NaNs=0
Col 135: Min=0.320 | Max=25.000 | Mean=6.940 | Infs=0 | NaNs=0
Col 136: Min=0.320 | Max=25.000 | Mean=6.953 | Infs=0 | NaNs=0
Col 137: Min=0.340 | Max=25.000 | Mean=6.977 | Infs=0 | NaNs=0
Col 138: Min=0.320 | Max=25.000 | Mean=6.984 | Infs=0 | NaNs=0
Col 139: Min=0.340 | Max=32.413 | Mean=8.231 | Infs=0 | NaNs=0
Col 140: Min=0.360 | Max=30.330 | Mean=7.914 | Infs=0 | NaNs=0
Col 141: Min=0.360 | Max=38.050 | Mean=9.170 | Infs=0 | NaNs=0
